Name,ID,URL,Downloads,rating
"Bitget Wallet - Crypto, Web3 | Bitcoin & USDT",jiidiaalihmmhddjgbnbgdfflelocpak,https://chromewebstore.google.com/detail/bitget-wallet-crypto-web3/jiidiaalihmmhddjgbnbgdfflelocpak,400000,3.5
Trust Wallet,egjidjbpglichdcondbcbdnbeeppgdph,https://chromewebstore.google.com/detail/trust-wallet/egjidjbpglichdcondbcbdnbeeppgdph,1000000,3.2
Xverse: Bitcoin Crypto Wallet,idnnbdplmphpflfnlkomgpfbpcgelopg,https://chromewebstore.google.com/detail/xverse-bitcoin-crypto-wal/idnnbdplmphpflfnlkomgpfbpcgelopg,300000,4.4
FRWT Secure DeFi Crypto Wallet,kpfchfdkjhcoekhdldggegebfakaaiog,https://chromewebstore.google.com/detail/frwt-secure-defi-crypto-w/kpfchfdkjhcoekhdldggegebfakaaiog,767,4.9
CoinWallet: BTC Crypto Wallet,oafedfoadhdjjcipmcbecikgokpaphjk,https://chromewebstore.google.com/detail/coinwallet-btc-crypto-wal/oafedfoadhdjjcipmcbecikgokpaphjk,732,5.0
OneKey: Secure Crypto Wallet,jnmbobjmhlngoefaiojfljckilhhlhcj,https://chromewebstore.google.com/detail/onekey-secure-crypto-wall/jnmbobjmhlngoefaiojfljckilhhlhcj,30000,4.8
TokenPocket - Web3 & Crypto Wallet,mfgccjchihfkkindfppnaooecgfneiii,https://chromewebstore.google.com/detail/tokenpocket-web3-crypto-w/mfgccjchihfkkindfppnaooecgfneiii,90000,3.4
Coinbase Wallet extension,hnfanknocfeofbddgcijnmhnfnkdnaad,https://chromewebstore.google.com/detail/coinbase-wallet-extension/hnfanknocfeofbddgcijnmhnfnkdnaad,1000000,2.7
OKX Wallet,mcohilncbfahbmgdjkbpemcciiolgcge,https://chromewebstore.google.com/detail/okx-wallet/mcohilncbfahbmgdjkbpemcciiolgcge,2000000,4.5
Wallet Guard: Protect Your Crypto,pdgbckgdncnhihllonhnjbdoighgpimk,https://chromewebstore.google.com/detail/wallet-guard-protect-your/pdgbckgdncnhihllonhnjbdoighgpimk,90000,4.6
KryptoGO - Crypto & NFT Wallet Extension,bgaihnkooadagpjddlcaleaopmkjadfl,https://chromewebstore.google.com/detail/kryptogo-crypto-nft-walle/bgaihnkooadagpjddlcaleaopmkjadfl,21,5.0
Keplr,dmkamcknogkgcdfhhbddcghachkejeap,https://chromewebstore.google.com/detail/keplr/dmkamcknogkgcdfhhbddcghachkejeap,1000000,4.8
Rabby Wallet,acmacodkjbdgmoleebolmdjonilkdbch,https://chromewebstore.google.com/detail/rabby-wallet/acmacodkjbdgmoleebolmdjonilkdbch,900000,3.9
MetaMask,nkbihfbeogaeaoehlefnkodbefgpgknn,https://chromewebstore.google.com/detail/metamask/nkbihfbeogaeaoehlefnkodbefgpgknn,14000000,2.7
