ID,Name,Downloads,Developer,Contact,Version,Updated,URL
nbdpmlhambbdkhkmbfpljckjcmgibalo,KuCoin Wallet,"6,000+",kc.wallet.app,info@kuwallet.com,1.4.3,"December 20, 2022",https://chrome.google.com/webstore/detail/nbdpmlhambbdkhkmbfpljckjcmgibalo
kkpllkodjeloidieedojogacfhpaihoh,"Enkrypt: Ethereum, Polkadot & Bitcoin Wallet","20,000+",enkrypt.com,dev@myetherwallet.com,1.9.0,"December 19, 2022",https://chrome.google.com/webstore/detail/kkpllkodjeloidieedojogacfhpaihoh
cenpfkdeflbobpamjimhcofdeggfemhd,Ape Chef 🔪 Rarity,586,Ape Chef 🔪,apechefnft@gmail.com,0.1.1,"June 21, 2022",https://chrome.google.com/webstore/detail/cenpfkdeflbobpamjimhcofdeggfemhd
ldcoohedfbjoobcadoglnnmmfbdlmmhf,Frame Companion,"7,000+",frame.sh,jordan@frame.sh,0.9.1,"October 11, 2022",https://chrome.google.com/webstore/detail/ldcoohedfbjoobcadoglnnmmfbdlmmhf
bbjobibhhdmgglolffijmklfnhfgfopc,TimeBird Dex,32,dev.timebird,dev.timebird@gmail.com,0.2.2,"December 28, 2022",https://chrome.google.com/webstore/detail/bbjobibhhdmgglolffijmklfnhfgfopc
eokbbaidfgdndnljmffldfgjklpjkdoi,Fluent,"10,000+",Conflux Network,conflux-eco@confluxnetwork.org,2.5.1,"November 28, 2022",https://chrome.google.com/webstore/detail/eokbbaidfgdndnljmffldfgjklpjkdoi
fmmpeieggljdpdpjbnlmjpmgemnokphj,Ape Chef 🔪 Realtime Analysis,19,Ape Chef 🔪,apechefnft@gmail.com,0.0.3,"June 24, 2022",https://chrome.google.com/webstore/detail/fmmpeieggljdpdpjbnlmjpmgemnokphj
hpbgcgmiemanfelegbndmhieiigkackl,Monsta Wallet,"20,000+",Monsta Infinite,dev@monstainfinite.com,2.2.0,"November 28, 2022",https://chrome.google.com/webstore/detail/hpbgcgmiemanfelegbndmhieiigkackl
hpglfhgfnhbgpjdenjgmdgoeiappafln,Guarda,"6,000+",guarda.com,support@guarda.com,1.1.0,"October 15, 2022",https://chrome.google.com/webstore/detail/hpglfhgfnhbgpjdenjgmdgoeiappafln
mapbhaebnddapnmifbbkgeedkeplgjmf,Biport Wallet,"2,000+",bifrostdev,bifrostdev@pi-lab.io,1.1.31,"January 3, 2023",https://chrome.google.com/webstore/detail/mapbhaebnddapnmifbbkgeedkeplgjmf
opmfbcncfajkanpggglkgabbfhebgikk,Wum.bo,241,wum.bo,help@wum.bo,1.4.3,"September 16, 2022",https://chrome.google.com/webstore/detail/opmfbcncfajkanpggglkgabbfhebgikk
kegphppmeiokknlbcaoojlmgkhgiaoho,Didux.io Browser Extension,19,didux.io,info@didux.io,6.4.0,"April 9, 2020",https://chrome.google.com/webstore/detail/kegphppmeiokknlbcaoojlmgkhgiaoho
acmacodkjbdgmoleebolmdjonilkdbch,Rabby,"40,000+",rabby.io,rabby.admin@debank.com,0.64.0,"December 30, 2022",https://chrome.google.com/webstore/detail/acmacodkjbdgmoleebolmdjonilkdbch
gkoaehhpdkfkjgjbnlahcneebidamclf,Multi Wallet,6,walletmulti,walletmulti@gmail.com,1.0.0,"August 23, 2020",https://chrome.google.com/webstore/detail/gkoaehhpdkfkjgjbnlahcneebidamclf
jccapkebeeiajkkdemacblkjhhhboiek,Crust Wallet,"20,000+",Crust Network,kun@crust.network,2.0.3,"March 4, 2022",https://chrome.google.com/webstore/detail/jccapkebeeiajkkdemacblkjhhhboiek
nfinomegcaccbhchhgflladpfbajihdf,G.U. Smart Wallet,473,lunascape.org,contact@gulabs.com,2.1.0,"October 26, 2022",https://chrome.google.com/webstore/detail/nfinomegcaccbhchhgflladpfbajihdf
dmoidpfmmhnchjngdjcbkpdjfmhkpnjg,BurnerX,133,David Mihal,david@dmihal.com,0.1.0,"August 28, 2020",https://chrome.google.com/webstore/detail/dmoidpfmmhnchjngdjcbkpdjfmhkpnjg
aeachknmefphepccionboohckonoeemg,Coin98 Wallet,"50,000+",coin98.com,support@coin98.com,7.1.4,"January 2, 2023",https://chrome.google.com/webstore/detail/aeachknmefphepccionboohckonoeemg
cmbagcoinhmacpcgmbiniijboejgiahi,JustLiquidity Wallet,238,justliquidity.org,tobias@justliquidity.org,1.0.0,"October 13, 2020",https://chrome.google.com/webstore/detail/cmbagcoinhmacpcgmbiniijboejgiahi
fbgdgmhhhlimaanngeakidegojjbbbbm,Graphite Wallet,4,Graphite,support@devgraphite.com,0.1.4,"November 4, 2022",https://chrome.google.com/webstore/detail/fbgdgmhhhlimaanngeakidegojjbbbbm
eamiofncoknfkefhlkdblngblpffehek,Verto - Multichain Crypto Wallet for DEFI,60,Volentix,berthony@volentixlabs.com,1.0.12,"May 16, 2022",https://chrome.google.com/webstore/detail/eamiofncoknfkefhlkdblngblpffehek
agoakfejjabomempkjlepdflaleeobhb,Core | Crypto & NFT Wallet Extension,"9,000+",Ava Labs,wallet@avalabs.org,1.43.0,"December 20, 2022",https://chrome.google.com/webstore/detail/agoakfejjabomempkjlepdflaleeobhb
ejjladinnckdgjemekebdpeokbikhfci,Petra Aptos Wallet,"200,000+",petra.app,support@petra.app,1.1.5,"December 20, 2022",https://chrome.google.com/webstore/detail/ejjladinnckdgjemekebdpeokbikhfci
gpnihlnnodeiiaakbikldcihojploeca,NuFi,"2,000+",nu.fi,nufi-extension-publishers@nu.fi,3.0.5,"December 6, 2022",https://chrome.google.com/webstore/detail/gpnihlnnodeiiaakbikldcihojploeca
engfhholkkhbcaecelniipbfjkfbfhgb,Ducky Wallet,7,duckyscan.com,duckyscan.com@gmail.com,0.1.0,"June 16, 2022",https://chrome.google.com/webstore/detail/engfhholkkhbcaecelniipbfjkfbfhgb
phkbamefinggmakgklpkljjmgibohnba,Pontem Aptos Wallet,"100,000+",pontem.network,support@pontem.network,2.3.0,"December 27, 2022",https://chrome.google.com/webstore/detail/phkbamefinggmakgklpkljjmgibohnba
aholpfdialjgjfhomihkjbmgjidlcdno,Exodus Web3 Wallet,"40,000+",exodus.com,webstore@exodus.io,23.1.2,"January 2, 2023",https://chrome.google.com/webstore/detail/aholpfdialjgjfhomihkjbmgjidlcdno
pdadjkfkgcafgbceimcpbkalnfnepbnk,KardiaChain Wallet,"50,000+",ecosystem,hello@kardiachain.io,1.5.12,"May 27, 2022",https://chrome.google.com/webstore/detail/pdadjkfkgcafgbceimcpbkalnfnepbnk
