;Revocation_unsafe (Y) ;has_automation_results;Extension_id;User_count;Rating;;
Rabby Wallet;N;x;acmacodkjbdgmoleebolmdjonilkdbch;900000;3.9;;
Coin98 Wallet Extension: Crypto & Defi;Y;x;aeachknmefphepccionboohckonoeemg;100000;4.7;;
MathWallet;Y;manual;afbcbjpbpfadlkmhmclhkeeodmamcflc;50000;3.4;;
Backpack;Y;x;aflkmfhebedbjioipglgcbcmnbpgliof;600000;4.5;;
Core Wallet: Crypto Made Easy;Y;x;agoakfejjabomempkjlepdflaleeobhb;60000;3.8;;
Exodus Web3 Wallet;N;x;aholpfdialjgjfhomihkjbmgjidlcdno;100000;3.4;;
Phantom;Y;x;bfnaelmomeimhlpmgjnjophhpkkoljpa;5000000;3.8;;
Binance Wallet;N;manual;cadiboklkpojfamcoggejbbdjcoiljjk;70000;4.7;;
Gate Wallet;Y;x;cpmkedoipcpimgecpmgpldfpohjplkpp;100000;4.2;;
Fin Wallet For Sei;Y;manual;dbgnhckhnppddckangcjbkjnlddbjkna;20000;3.4;;
Keplr;N;manual;dmkamcknogkgcdfhhbddcghachkejeap;1000000;4.8;;
Trust Wallet;Y;x;egjidjbpglichdcondbcbdnbeeppgdph;1000000;3.2;;
Leap Wallet;N;manual;fcfcfllfndlomdhbehjjcoimbgofdncg;200000;4.1;;
Ronin Wallet;Y;manual;fnjhmkhhmkbjkkabndcnnogagogbneec;1000000;2.9;;
StarKey Wallet - The official wallet for Supra;N;manual;hcjhpkgbmechpabifbggldplacolbkoh;100000;4.6;;
Ctrl Wallet;N;x;hmeobnfnfcmdkdcmlblgagmfpfboieaf;300000;4.7;;
Coinbase Wallet extension;Y;x;hnfanknocfeofbddgcijnmhnfnkdnaad;1000000;2.7;;
Flow Wallet;N;manual;hpclkefagolihohboafpheddmmgdffjm;10000;4.5;;
Portal DEX;Y;x;ieldiilncjhfkalnemgjbffmpomcaigi;100000;4.6;;
Hana Wallet;Y;x;jfdlamikmbghhapbgfoogdffldioobgl;10000;4.6;;
Bitget Wallet - Crypto, Web3 | Bitcoin & USDT;Y;x;jiidiaalihmmhddjgbnbgdfflelocpak;400000;3.5;;
OneKey: Secure Crypto Wallet;N;manual;jnmbobjmhlngoefaiojfljckilhhlhcj;30000;4.8;;
Enkrypt: ETH, BTC and Solana Wallet;Y;x;kkpllkodjeloidieedojogacfhpaihoh;50000;4.3;;
Zerion Wallet: Crypto & DeFi;Y;x;klghhnkeealcohjjanjjdaeeggmfmlpl;100000;4.7;;
Wigwam — Web3 Wallet;Y;x;lccbohhgfkdikahanoclbdmaolidjdfl;20000;4.7;;
Koala Wallet;N;manual;lnnnmfcpbkafcpgdilckhmhbkkbpkmid;10000;4.9;;
OKX Wallet;Y;x;mcohilncbfahbmgdjkbpemcciiolgcge;2000000;4.5;;
TokenPocket - Web3 & Crypto Wallet;Y;x;mfgccjchihfkkindfppnaooecgfneiii;90000;3.4;;
Fluvi Wallet;N;manual;mmmjbcfofconkannjonfmjjajpllddbg;20000;2.8;;
MetaMask;N;x;nkbihfbeogaeaoehlefnkodbefgpgknn;14000000;2.7;;
SubWallet - Polkadot Wallet;N;manual;onhogfjeacnfoofkfgppdlbmlmnplgbn;200000;4.6;;
Rainbow;N;x;opfgelmcmbiajamepnmloijbpoleiama;100000;4.3;;
QSafe wallet;Y;x;opnnmgopaggjpapnoknbphfpjfadbddc;30000;4.9;;
Bybit Wallet;Y;x;pdliaogehgdbhbnmkklieghmmjkpigpa;200000;3.4;;
Stargazer Wallet;Y;manual;pgiaagfkgcbnmiiolekcfmljdagdhlcm;10000;3.7;;
Pontem Crypto Wallet - Eth, Sol, BTC +;Y;x;phkbamefinggmakgklpkljjmgibohnba;100000;4.9;;
Pocket Universe;dead;;gacgndbocaddlemdiaadajmlggabdeod;100000;4.8;;
SafePal Extension Wallet;Dead;;lgmpcpglpngdoalbgeoldeajfclnhafa;100000;3.6;;
Wallet Guard: Protect Your Crypto;dead;;pdgbckgdncnhihllonhnjbdoighgpimk;90000;4.6;;
Pelagus;Dead;;nhccebmfjcbhghphpclcfdkkekheegop;70000;4.1;;
Compass Wallet for Sei;Cant read;;anokgmphncpekkhclmingpimjmcooifb;100000;3.1;;
Uniswap Extension;Cant read;;nnpmfplkfogfpmcngplhnbdnnilmcdcg;100000;4.7;;
Cosmostation Wallet;Cant read;;fpkhgmpbidmiogeglndfbkegfdlnajnf;30000;3.5;;
Taho;Cant open ;;eajafomhmkipbjmfmhebemolkcicgfmd;50000;4.4;;
Sender Wallet;Cant detect;;epapihdplajcdnnkdeiahlgigofloibg;100000;4.7;;
Braavos: Bitcoin & Starknet Wallet;Cant detect;;jnlgamecbpmbajjfhmmmlhejkemejdma;100000;4.9;;
Oyl Wallet - Bitcoin & Ordinals Wallet;Cant detect;;ilolmnhjbbggkmopnemiphomhaojndmb;20000;4.4;;
Meteor Wallet;Cant detect;;pcndjhkinnkaohffealmlmhaepkpmgkb;20000;4.0;;
Gero Dashboard;Cant detect;;bgpipimickeadkjlklgciifhnalhdjhe;10000;4.6;;
ASI Alliance Wallet;Cant detect;;ellkdbaphhldpeajbepobaecooaoafpg;10000;3.8;;
VeWorld;Cant detect;;ffondjhiilhjpmfakjbejdgbemolaaho;10000;4.5;;
Parti Wallet;Cant detect;;gjkdbeaiifkpoencioahhcilildpjhgh;10000;4.5;;
Nautilus Wallet;Cant detect;;gjlmehlldlphhljhpnlddaodbjjcchai;10000;4.8;;
Atomic Wallet;Cant detect;;gjnckgkfmgmibbkoficdidcljeaaaheg;10000;4.2;;
ION Wallet;Cant detect;;hfajfpbjlmembfdlhakjmefnbhjddofb;10000;4.4;;
Bitfinity Wallet;Cant detect;;jnldfbidonfeldmalbflbmlebbipcnle;10000;4.9;;
ONTO Wallet;Cant connect;;ifckdpamphokdglkkdomedpdegcjhjdp;10000;3.9;;
Mango Wallet;;;jiiigigdinhhgjflhljdkcelcjfmplnd;100000;4.0;;
Leather;;;ldinpeekobnhjjdofggfgjlcehhmanlj;100000;4.4;;
Solflare Wallet;;;bhhhlbepdkbapadjdnnojkbgioiodbic;800000;4.9;;
UniSat Wallet;;;ppbibelpcjmhbdihakflkdcoccbgbkpo;800000;3.9;;
TronLink;;;ibnejdfjmmkpcnlpebklmnkoeoihofec;600000;3.0;;
Petra Aptos Wallet;;;ejjladinnckdgjemekebdpeokbikhfci;400000;4.9;;
Station Wallet;;;aiifbnbfobpmeekipheeijimdpnlpgpp;300000;3.3;;
Ready Wallet (Formerly Argent);;;dlcobpjiigpikoobohmabehhmhfoodbb;300000;5.0;;
Xverse: Bitcoin Crypto Wallet;;;idnnbdplmphpflfnlkomgpfbpcgelopg;300000;4.4;;
Martian Aptos & Sui Wallet Extension;;;efbglgofoippbgcjepnhiblaibcnclgk;200000;4.9;;
Suiet | Sui Wallet;;;khpkpbbcccdmmclmpigdgddabeilkdpd;200000;5.0;;
Venom Wallet;;;ojggmchlghnjlapmfbnjholfjkiidbch;200000;3.8;;
Lace;;;gafhhkghbfjjkeiendhlofajokpaflmk;100000;4.5;;
Hashpack;;;gjagmgiddbbciopjhllkdnddhcglnemk;100000;4.5;;
Eternl;;;kmhcihpebfmpgmihbkipmjlmmioameka;100000;4.6;;
Plug;;;cfbfdhimifdmdehjmkdobpcjfefblkjm;70000;3.8;;
MyTonWallet · My TON Wallet;;;fldfpgipfncgndfolcbkdeeknbbbnhcc;60000;4.8;;
Alby - Bitcoin Wallet for Lightning & Nostr;;;iokeahhehimjnekafflcihljlcjccdbe;60000;4.2;;
Kerberus Sentinel3;;;kglcipoddmbniebnibibkghfijekllbl;60000;4.8;;
Fuelet Wallet | Fuel;;;bifidjkcdpgfnlbcjpdkdcnbiooooblg;50000;4.8;;
NC Wallet: Crypto wallet without fees;;;imlcamfeniaidioeflifonfjeeppblda;50000;3.2;;
Wombat - Gaming Wallet for Ethereum & EOS;;;amkmjjmmflddogmhpjloimipbofnfjih;30000;4.1;;
Finnie;;;cjmkndjhnagcfbpiemnkdpomccnjblmj;30000;4.5;;
