file;dappUrl;localStorage;walletStoredAtEnd;nothingStored;revokePermission;eth_addressbeforeRequest;announceProvider;trackers;tracker_count;google_all;amplitude.com;analytics.google.com;api-js.mixpanel.com;api.jumper.exchange;api.tokenlon.im;auth.privy.io;blur.io;cdn.markfi.xyz;cdn.worldofdypians.com;clarity.ms;core-api.prod.blur.io;deepflow.pendle.finance;events.launchdarkly.com;google-analytics.com;google.com;googletagmanager.com;i2.seadn.io;i2c.seadn.io;intercom.io;klabs.network;mixpanel.com;mm-sdk-analytics.api.cx.metamask.io;opensea.io;proxy-app.1inch.io;raw2.seadn.io;rdr.blurio.workers.dev;region1.analytics.google.com;region1.google-analytics.com;s2.adform.net;sentry.io;spindl.link;tag.adrsbl.io;tangerine.exchange;track.adform.net;v.clarity.ms
hnfanknocfeofbddgcijnmhnfnkdnaad-https___pancakeswap_finance_.json;https://pancakeswap.finance/;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;"google-analytics.com;googletagmanager.com;region1.google-analytics.com;sentry.io";4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
hnfanknocfeofbddgcijnmhnfnkdnaad-https___app_ens_domains_.json;https://app.ens.domains/;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;intercom.io;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bfnaelmomeimhlpmgjnjophhpkkoljpa-https___meteora_ag_.json;https://meteora.ag/;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bfnaelmomeimhlpmgjnjophhpkkoljpa-https___www_worldofdypians_com_.json;https://www.worldofdypians.com/;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;"cdn.worldofdypians.com;google-analytics.com;googletagmanager.com;mm-sdk-analytics.api.cx.metamask.io;region1.google-analytics.com";5;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
bfnaelmomeimhlpmgjnjophhpkkoljpa-https___app_uniswap_org_.json;https://app.uniswap.org/;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nkbihfbeogaeaoehlefnkodbefgpgknn-https___stake_lido_fi_.json;https://stake.lido.fi/;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hnfanknocfeofbddgcijnmhnfnkdnaad-https___novaquant_ai.json;https://novaquant.ai;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bfnaelmomeimhlpmgjnjophhpkkoljpa-https___app_odos_xyz_market.json;https://app.odos.xyz/market;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;"amplitude.com;google-analytics.com;googletagmanager.com;region1.google-analytics.com";4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
hnfanknocfeofbddgcijnmhnfnkdnaad-https___klabs_network_.json;https://klabs.network/;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;klabs.network;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hnfanknocfeofbddgcijnmhnfnkdnaad-https___stargate_finance_.json;https://stargate.finance/;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
